         128047 function calls (127849 primitive calls) in 0.920 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1259    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/__init__.py:435(set_up_substitutions)
      138    0.000    0.000    0.602    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/socket.py:575(readinto)
      500    0.000    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1330(_all_strings)
     1258    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_markupbase.py:40(getpos)
      179    0.000    0.000    0.003    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_htmlparser.py:251(handle_comment)
      440    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/builder/_htmlparser.py:189(handle_data)
       52    0.000    0.000    0.198    0.004 {method 'read' of '_io.BufferedReader' objects}
     1338    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      620    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/__init__.py:739(handle_data)
       87    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/re.py:273(_compile)
        2    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
     12/6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:469(_parse)
      350    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/_collections_abc.py:742(__iter__)
      138    0.000    0.000    0.602    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:1060(recv_into)
     1272    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:1499(__bool__)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
     1298    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      245    0.000    0.000    0.001    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/bs4/element.py:275(get_text)
      644    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/os.py:758(decode)
